,latitude,longitude,surface,azim,kWp,tilt
400,,,23,-15.0,2.97,45.0
401,,,27,0.0,3.0,30.0
402,,,20,-45.0,2.992,45.0
403,,,20,60.0,3.0,40.0
404,,,24,0.0,3.0,20.0
405,,,21,0.0,2.96,20.0
406,,,23,-70.0,2.996,25.0
407,,,48,0.0,7.02,30.0
408,,,23,0.0,3.0,45.0
409,,,180,30.0,22.36,35.0
410,,,20,-45.0,2.66,50.0
411,,,21,-80.0,2.94,40.0
412,,,26,45.0,2.775,45.0
413,,,22,5.0,3.0,35.0
414,,,18,-60.0,2.7,20.0
415,,,22,-15.0,2.88,30.0
416,,,23,-40.0,2.96,40.0
417,,,20,0.0,3.0,45.0
418,,,20,90.0,3.6,45.0
419,,,42,-20.0,5.6,25.0
420,,,24,45.0,2.52,25.0
421,,,18,5.0,2.59,30.0
422,,,19,-20.0,2.75,35.0
423,,,27,45.0,3.0,35.0
424,,,18,10.0,2.94,30.0
425,,,24,-45.0,2.94,20.0
426,,,13,0.0,2.0,30.0
427,,,21,-20.0,3.0,20.0
428,,,18,-40.0,2.94,25.0
429,,,21,0.0,2.88,20.0
430,,,20,0.0,2.82,20.0
431,,,24,-20.0,2.94,35.0
432,,,20,0.0,2.88,45.0
433,,,16,-5.0,3.0,25.0
434,,,17,0.0,3.0,30.0
435,,,21,30.0,2.64,20.0
436,,,18,15.0,2.94,25.0
437,,,18,20.0,2.996,30.0
438,,,235,-30.0,42.68,25.0
439,,,17,10.0,2.34,20.0
440,,,25,20.0,2.97,25.0
441,,,23,45.0,2.8,40.0
442,,,24,70.0,3.0,50.0
443,,,48,0.0,6.09,25.0
444,,,27,105.0,2.7,20.0
445,,,26,-10.0,3.0,40.0
446,,,23,0.0,2.88,20.0
447,,,20,-90.0,2.96,45.0
448,,,22,-45.0,3.0,20.0
449,,,18,-30.0,2.1,30.0
450,,,20,90.0,2.64,20.0
451,,,25,-30.0,2.88,20.0
452,,,19,-10.0,2.996,45.0
453,,,21,0.0,3.0,35.0
454,,,48,20.0,8.829,20.0
455,,,24,0.0,2.94,30.0
456,,,16,15.0,3.0,20.0
457,,,21,15.0,2.88,20.0
458,,,26,70.0,3.5,45.0
459,,,15,-20.0,2.16,30.0
460,,,15,-5.0,2.568,45.0
461,,,20,-35.0,2.88,30.0
462,,,21,-5.0,2.88,15.0
463,,,24,-80.0,3.06,25.0
464,,,20,45.0,2.996,20.0
465,,,23,-45.0,3.0,15.0
466,,,18,15.0,2.94,30.0
467,,,23,-45.0,2.94,20.0
468,,,21,0.0,2.88,20.0
469,,,19,-10.0,3.0,45.0
470,,,24,65.0,2.97,30.0
471,,,20,10.0,2.96,15.0
472,,,22,40.0,2.99,35.0
473,,,24,-90.0,2.996,15.0
474,,,20,20.0,2.94,30.0
